Host tax id	Host name	Host refseq id
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
1428	Bacillus thuringiensis	NC_005957.1
2148	Acholeplasma laidlawii	NC_010163.1
2148	Acholeplasma laidlawii	NC_010163.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
85698	Achromobacter xylosoxidans	NZ_LN831029.1
563177	Acidianus hospitalis	NC_015518.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
470	Acinetobacter baumannii	NZ_CP009257.1
40214	Acinetobacter johnsonii	NZ_CP010350.1
40214	Acinetobacter johnsonii	NZ_CP010350.1
40214	Acinetobacter johnsonii	NZ_CP010350.1
487316	Acinetobacter soli	NZ_CP016896.1
644	Aeromonas hydrophila	NC_008570.1
644	Aeromonas hydrophila	NC_008570.1
644	Aeromonas hydrophila	NC_008570.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
645	Aeromonas salmonicida	NC_009348.1
714	Aggregatibacter actinomycetemcomitans	NZ_CP012959.1
192	Azospirillum brasilense	NZ_CP012914.1
1392	Bacillus anthracis	NC_005945.1
1392	Bacillus anthracis	NC_005945.1
1392	Bacillus anthracis	NC_005945.1
1392	Bacillus anthracis	NC_005945.1
1392	Bacillus anthracis	NC_005945.1
1392	Bacillus anthracis	NC_005945.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
1396	Bacillus cereus	NC_004722.1
